current,counts,run,cycle_num,period_num,is_background,storage_time,counts_last_20s
0.9986228174888171,30394,2548,11,2,False,10.0,2104
0.9993291256519464,13225,2548,12,3,True,10.0,2125
36.63941038571871,770481,2575,10,2,False,10.0,20226
36.65868385165346,768898,2575,11,2,False,10.0,19850
36.68061183049129,129984,2575,9,3,True,10.0,17256
21.585406717264426,666807,2581,0,2,False,10.0,41728
21.590559941417766,682980,2581,2,2,False,10.0,42932
21.59696835737962,655429,2581,3,2,False,10.0,42745
21.584713055537296,311443,2581,1,3,True,10.0,40599
10.885147461524376,403950,2588,2,2,False,10.0,31426
10.890399749462421,411047,2588,3,2,False,10.0,32575
10.886022806167603,420023,2588,5,2,False,10.0,33248
10.88777364217318,231360,2588,4,3,True,10.0,33387
4.993555325728196,153677,2558,0,2,False,0.0,3718
4.995762531573956,19205,2558,1,2,False,120.0,2537
4.997086855081411,145843,2558,2,2,False,2.0,3698
4.993996766897348,26260,2558,3,2,False,80.0,2781
4.993555325728196,131511,2558,4,2,False,5.0,3583
4.995321090404804,49913,2558,5,2,False,40.0,3080
4.993113884559045,81957,2558,7,2,False,20.0,3304
4.9959207840685576,152810,2558,9,2,False,0.0,3801
5.001059825603779,18910,2558,10,2,False,120.0,2571
4.9944382080665,143817,2558,11,2,False,2.0,3599
4.9944382080665,25587,2558,12,2,False,80.0,2780
4.993555325728196,130550,2558,13,2,False,5.0,3598
4.994621447797091,49258,2558,14,2,False,40.0,3018
4.996498266855876,111689,2558,15,2,False,10.0,3447
4.995147976220823,82459,2558,16,2,False,20.0,3291
4.993113884559045,175885,2558,18,2,False,0.0,3530
4.997086855081411,18948,2558,19,2,False,120.0,2583
4.990023796374981,142844,2558,20,2,False,2.0,3571
4.993555325728196,25271,2558,21,2,False,80.0,2664
4.999735502096323,126909,2558,22,2,False,5.0,3361
4.993996766897348,49365,2558,23,2,False,40.0,3140
4.997528296250564,111018,2558,24,2,False,10.0,3532
4.995762531573956,82621,2558,25,2,False,20.0,3400
4.992672443389893,22870,2558,8,3,True,0.0,3267
4.992672443389893,22714,2558,8,3,True,2.0,3246
4.992672443389893,22454,2558,8,3,True,5.0,3206
4.992672443389893,22110,2558,8,3,True,10.0,3214
4.992672443389893,21497,2558,8,3,True,20.0,3121
4.992672443389893,20325,2558,8,3,True,40.0,2899
4.992672443389893,18190,2558,8,3,True,80.0,2704
4.992672443389893,16410,2558,8,3,True,120.0,2396
4.993996766897348,22738,2558,17,3,True,0.0,3203
4.993996766897348,22648,2558,17,3,True,2.0,3170
4.993996766897348,22444,2558,17,3,True,5.0,3179
4.993996766897348,22082,2558,17,3,True,10.0,3135
4.993996766897348,21644,2558,17,3,True,20.0,3197
4.993996766897348,20549,2558,17,3,True,40.0,3038
4.993996766897348,18571,2558,17,3,True,80.0,2811
4.993996766897348,17110,2558,17,3,True,120.0,2587
36.68355472271259,1708039,2573,0,2,False,0.0,106101
36.58055202777569,1351774,2573,6,2,False,10.0,100929
36.658400769503615,1222831,2573,7,2,False,20.0,106320
36.67968839757583,1773843,2573,9,2,False,0.0,115618
36.65706810584435,555233,2573,10,2,False,120.0,75656
36.66468511843214,1692971,2573,11,2,False,2.0,116093
36.64529624352088,661556,2573,12,2,False,80.0,83991
36.65868385165346,1587651,2573,13,2,False,5.0,111611
36.64529624352088,931813,2573,14,2,False,40.0,97895
36.65268258487477,1422837,2573,15,2,False,10.0,109863
36.65412506690392,1195759,2573,16,2,False,20.0,103972
36.65118217468262,1740194,2573,18,2,False,0.0,111708
36.63352438119742,1097984,2573,25,2,False,20.0,89355
36.668839968167816,1728899,2573,27,2,False,0.0,108708
36.64529646359957,518951,2573,28,2,False,120.0,70717
36.66417564536041,1650027,2573,29,2,False,2.0,106448
36.57466705028828,626497,2573,30,2,False,80.0,79351
36.63646742013785,1541513,2573,31,2,False,5.0,105805
36.66001107142522,894008,2573,32,2,False,40.0,93392
36.65868385165346,1395591,2573,33,2,False,10.0,104962
36.68355479607215,1181906,2573,34,2,False,20.0,101490
